Writer_ID,Epsilon_Cohesion,Epsilon_Alpha_Distance,Num_Epsilon,Num_Alpha
TM_60364,0.98214173,0.10320508480072021,2,2
TM_60771,0.9889393,0.06945616006851196,2,4
TM_61026,0.99083227,0.05895590782165527,3,2
TM_61112,0.9802592,0.04676508903503418,2,3
TM_60812,0.9842843,0.04482710361480713,2,2
TM_60312,0.9865982,0.044007301330566406,5,2
TM_60896(a),0.96969247,0.03891646862030029,6,10
TM_60214,0.9221189,0.03426957130432129,6,5
TM_61256,0.98331124,0.032847464084625244,3,9
TM_60658,0.97606224,0.03250628709793091,17,3
TM_60253,0.98103553,0.030307412147521973,10,5
TM_60492,0.9602553,0.029786348342895508,3,4
TM_61022,0.9636151,0.0248643159866333,6,4
TM_60682,0.9664259,0.021303534507751465,9,6
TM_60238,0.97385484,0.020996153354644775,5,2
TM_60494,0.9794472,0.020894408226013184,4,2
TM_60935,0.9863543,0.020772099494934082,3,6
TM_60216,0.96949446,0.020387887954711914,5,2
TM_60290,0.9946477,0.020149707794189453,3,7
TM_60940,0.9642901,0.019381165504455566,6,8
TM_60574,0.9759536,0.017361879348754883,3,3
TM_60396,0.9705715,0.016095995903015137,17,3
TM_68757,0.9641471,0.015641212463378906,3,2
TM_60255,0.9907961,0.015552997589111328,2,3
TM_60347,0.99853206,0.015536308288574219,2,4
TM_61168,0.93012714,0.015510141849517822,9,6
TM_61213,0.9663808,0.01542353630065918,9,2
TM_60479,0.983588,0.015207231044769287,13,5
TM_60515,0.9815181,0.014862060546875,3,2
TM_60220,0.9596995,0.014391422271728516,16,7
TM_61245,0.9646532,0.013986825942993164,8,6
TM_60600,0.97495264,0.01367861032485962,15,11
TM_60276,0.99078083,0.013329744338989258,4,4
TM_60304,0.9519335,0.01281958818435669,16,13
TM_60589,0.98987186,0.012543082237243652,2,2
TM_60489,0.9599745,0.011861801147460938,9,13
TM_61124,0.9625079,0.011628985404968262,21,21
TM_60896(b),0.9644744,0.011108934879302979,5,4
TM_60421,0.95240635,0.010806083679199219,13,13
TM_60997,0.9874771,0.010156095027923584,7,9
TM_60472,0.96116686,0.009638071060180664,3,3
TM_60221,0.9672878,0.009410977363586426,13,14
TM_60368,0.96809757,0.009295463562011719,19,9
TM_827766,0.99212044,0.00916588306427002,6,8
TM_60901,0.9773291,0.008976876735687256,12,7
TM_827767,0.96662825,0.008727788925170898,5,4
TM_61122,0.96073526,0.0084991455078125,25,23
TM_61051,0.9734176,0.0071721673011779785,20,12
TM_60558,0.981377,0.006768703460693359,10,9
TM_60965,0.9853868,0.006605923175811768,7,7
TM_60481,0.9834129,0.00646364688873291,4,2
TM_61167,0.94207215,0.0062770843505859375,23,34
TM_60666,0.98546827,0.006233096122741699,13,6
TM_61175,0.97727114,0.005877792835235596,8,16
TM_60358,0.9587839,0.005752921104431152,22,15
TM_60400,0.9662041,0.005631089210510254,7,7
TM_60487,0.9854059,0.005583286285400391,10,10
TM_60367,0.97752714,0.005258738994598389,6,6
TM_61244,0.9932615,0.0051871538162231445,5,3
TM_60326(b),0.97520196,0.005107581615447998,31,25
TM_61246,0.97968227,0.0049896240234375,4,9
TM_60633,0.9928436,0.0043953657150268555,21,17
TM_61236,0.98212105,0.004372954368591309,18,18
TM_61106,0.9723657,0.004030346870422363,17,13
TM_60411,0.991668,0.0038985610008239746,19,15
TM_60560,0.98553723,0.0038583874702453613,16,25
TM_60329,0.97841805,0.0037424564361572266,8,14
TM_60485,0.9834428,0.003655672073364258,4,4
TM_60845,0.9935015,0.0036454200744628906,3,2
TM_60670,0.9896447,0.003077089786529541,20,10
TM_61117,0.9799219,0.0030397772789001465,29,25
TM_60740,0.9875269,0.0028802156448364258,13,19
TM_61228,0.9864352,0.002763986587524414,9,11
TM_60571,0.9564487,0.002713799476623535,21,16
TM_60306,0.97217745,0.0026590824127197266,148,133
TM_60891,0.9567633,0.0025331974029541016,86,82
TM_60462,0.98282474,0.002506434917449951,41,27
TM_60855,0.97866607,0.0024837255477905273,11,8
TM_61141,0.9738996,0.0019538402557373047,11,36
TM_60457,0.98969686,0.0018515586853027344,22,7
TM_66764,0.9884343,0.0018100738525390625,16,12
TM_60847,0.98484725,0.0016382932662963867,17,17
TM_60659,0.97759223,0.0015310049057006836,17,13
TM_61020,0.97905505,0.0014590024948120117,39,42
TM_60650,0.9798232,0.0013980269432067871,26,19
TM_60734,0.9845047,0.001055598258972168,35,34
TM_61073,0.9762382,0.001035928726196289,51,45
TM_60732,0.9831702,0.0010233521461486816,30,28
TM_60761,0.9868063,0.0009627342224121094,7,9
