Writer_ID,Distinctiveness_Score,Num_Samples
TM_60761,0.5205078125,68
TM_60457,0.5035608410835266,150
TM_61073,0.5018840432167053,346
TM_60940,0.4983656406402588,44
TM_60740,0.4845498204231262,122
TM_61244,0.4836239218711853,22
TM_60658,0.4689599275588989,110
TM_60571,0.46518659591674805,118
TM_60600,0.4613063931465149,104
TM_60633,0.4590303897857666,144
TM_60650,0.45868080854415894,184
TM_60734,0.45721375942230225,246
TM_60368,0.4501384496688843,100
TM_61228,0.44849568605422974,72
TM_61167,0.4451918601989746,146
TM_61245,0.442952036857605,56
TM_60847,0.435791015625,144
TM_60304,0.4352148771286011,78
TM_60558,0.43298888206481934,64
TM_60396,0.4297485947608948,80
TM_60965,0.42739415168762207,36
TM_61124,0.4261922836303711,110
TM_60659,0.4258253574371338,102
TM_60329,0.423195481300354,88
TM_61246,0.4211222529411316,36
TM_61122,0.42107415199279785,186
TM_61175,0.42058461904525757,86
TM_60935,0.41967296600341797,50
TM_60515,0.41452014446258545,34
TM_60220,0.414245069026947,84
TM_66764,0.41038060188293457,94
TM_60421,0.4101616144180298,100
TM_60560,0.40783822536468506,124
TM_61117,0.40684324502944946,178
TM_61236,0.4025784730911255,110
TM_60411,0.40214717388153076,132
TM_60326(b),0.40192514657974243,188
TM_60589,0.4019148349761963,28
TM_61106,0.4014933109283447,94
TM_60290,0.40061551332473755,34
TM_60367,0.39912712574005127,26
TM_60221,0.39882636070251465,94
TM_60358,0.3958667516708374,92
TM_60896(b),0.38888972997665405,34
TM_61022,0.38821959495544434,28
TM_60855,0.38427650928497314,74
TM_60732,0.38373756408691406,184
TM_60276,0.3834933042526245,20
TM_61020,0.3777076005935669,274
TM_60901,0.37691015005111694,64
TM_827766,0.3750001788139343,70
TM_60666,0.3744007349014282,68
TM_60682,0.3734778165817261,50
TM_60891,0.37330883741378784,564
TM_60997,0.37300586700439453,50
TM_60662,0.36803722381591797,40
TM_60462,0.3668243885040283,288
TM_60896(a),0.3657197952270508,38
TM_61168,0.36420297622680664,72
TM_60214,0.3637518286705017,32
TM_60400,0.36273473501205444,62
TM_60845,0.3599901795387268,44
TM_61141,0.35879790782928467,124
TM_60254,0.3539339303970337,14
TM_60492,0.3488888144493103,26
TM_60670,0.3437889814376831,104
TM_60306,0.3421565294265747,1024
TM_60216,0.3402923345565796,22
TM_60489,0.3389803171157837,80
TM_61256,0.3379216194152832,50
TM_60312,0.3378516435623169,18
TM_61213,0.3367551565170288,30
TM_827767,0.3358343243598938,26
TM_60253,0.33026552200317383,68
TM_60238,0.3297308683395386,26
TM_60487,0.32377874851226807,82
TM_61051,0.3208599090576172,122
TM_60479,0.32034122943878174,48
TM_60910,0.3156653046607971,28
TM_68757,0.31303930282592773,32
TM_60485,0.30905628204345703,36
